2023-07-25 10:07:05.489 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2023-07-25 10:07:05.563 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-25 10:07:05.564 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 688 ms
2023-07-25 10:07:05.604 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2023-07-25 10:07:05.614 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-07-25 10:08:23.947 [main] INFO  c.e.dockertest.DockerTestApplication - Starting DockerTestApplication using Java 17.0.7 on FA00080 with PID 12032 (C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test)
2023-07-25 10:08:23.948 [main] INFO  c.e.dockertest.DockerTestApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-25 10:08:24.257 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-25 10:08:24.269 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2023-07-25 10:08:24.562 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 10:08:24.568 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-25 10:08:24.568 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2023-07-25 10:08:24.641 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-25 10:08:24.642 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 667 ms
2023-07-25 10:08:24.682 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2023-07-25 10:08:24.692 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-07-25 10:19:13.868 [main] INFO  c.e.dockertest.DockerTestApplication - Starting DockerTestApplication using Java 17.0.7 on FA00080 with PID 9376 (C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test)
2023-07-25 10:19:13.870 [main] INFO  c.e.dockertest.DockerTestApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-25 10:19:14.170 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-25 10:19:14.178 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 JPA repository interfaces.
2023-07-25 10:19:14.471 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 10:19:14.477 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-25 10:19:14.478 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2023-07-25 10:19:14.551 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
